id_str,created_at,text,polarity,subjectivity,user_created_at,user_location,user_description,user_followers_count,longitude,latitude,retweet_count,favorite_count,,
1.24038E+18,3/18/2020 21:07,"RT @jboner: Great writeup. This is a wicked cool use case. 
And equally cool that it's leveraging #Akka to do the heavy lifting. :-) 
I can",0,1,8/11/2008 18:04,NULL,NULL,85,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:07,"RT @washingtonpost: The San Francisco bay area ordered millions to shelter in place.

Elon Musk had Tesla employees report to work anyway.",0,0,6/2/2018 23:07,NULL,"~ Im still trying to figure out what I want to do with my life, but in the meantime Im just going to chill and have a good time",62,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:07,"So, when Elon says he will keep going to work, he meant that he would feck off in his private plane while leaving https://t.co/acag8D6n4g",0,0,11/28/2018 20:23,Illinois ,"Family office. 

VC, PE, stocks, cannabis, real estate. 

Deep value, special situations, opportunistic & growth plays.

http://bit.ly/2ztdNrC",1409,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:07,"RT @scottbudman: #Exclusive: I just spoke to a Tesla contractor, on the assembly line in the factory right now: I'm extremely unhappy. Thi""",0,1,9/23/2014 6:18,WEST COAST,"PEACE, LOVE & HAPPINESS IS MY WISH TO YOU.
MY TWO DAUGHTERS ARE MY  NUMBER ONE PRIORITY.
GOD BLESS YOU ALL.",329,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:07,Detroit Automakers Will Reportedly Shutter Factories -- But Not Tesla https://t.co/txkGKAHKJp #business,0,0,11/29/2019 8:28,NULL,"Data Scientist by day, geek tech gamer junky by night; welcome to my augmented stream of consciousness ",2478,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:07,"If Tesla does continue to make cars, well, here's what Elon Musk said about cars and how they compare to Coronaviru https://t.co/4WSSHT7UUN",0,0,6/14/2009 22:21,"If you were there, beware",senior tech reporter @BuzzFeedNews. ryan.mac@buzzfeed.com & rmac18@protonmail.com. DMs open. On Signal--ask for my number.,39735,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:07,"Auto loan eligible for deferral, thanks god. #Tesla https://t.co/qyleEo5oeg",0,0,2/19/2012 1:27,"Toronto, Ontario","I'm already ordered Tesla M3, just waiting for my dream car.",16,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,@of_midtown @ACSOSheriffs @Tesla @NewYork_SEC Oh and H1-B violations is what I believe as well. I am dedicating my https://t.co/42V2yrPLRx,0,0,3/17/2020 21:15,NULL,Stop discrimination against disabled citizens in the work place! You can do this by filing complaints when not in complete accordance of the law to protect you.,0,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:07,RT @thirdrowtesla: The silencing of Tesla supporters has been timed to maximize panic and misinformation @twitter @twittersupport @TwitterS,0,0,4/16/2018 1:07,Pacific  ,At the foot of the mountain... though not verifiable Tesla/ SpaceX    TeamElon  Clean Earth    @thirdrowtesla,9195,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,"RT @Street_Insider: Tesla $TSLA Preparing to Reduce Staff by 75% at California Plant - Bloomberg, Citing County Spokesman",0,0,3/8/2010 16:14,NULL," Trade alerts, trade-ideas and crypto (All stock, trade ideas and crypto alerts are delayed).  BrokeragePlus automated trading  via http://TradeIdeas.us",135976,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,RT @JodiHernandezTV: #BREAKING Alameda Co says @Tesla has told the County theyve reduced their workforce from 10-thousand to 2500. https:/,0,0,4/20/2011 8:35,"Foster City, CA",VP Digital for @NBCBayArea & @Telemundo48. @SFSU alum. News junkie. Tech geek. Bay Area native. I like to make pretty pictures. En Espaol: @SaraBuenoT48,1981,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,RT @chadloder: Nationalize Tesla and convert them to a ventilator factory for the rest of the year. https://t.co/9IZqEhC50M,0,0,3/26/2009 0:21,Melbourne,Primarily an RT machine,222,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,"RT @RMac18: Tesla's Fremont factory will stay open but will reduce its workforce from 10,000 to 2,500 workers according to the Alameda Coun",0,1,4/18/2010 19:22,NULL,"We moeten nooit ophouden met spreken.      

                                                We should never stop speaking.",1248,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,"RT @washingtonpost: The San Francisco bay area ordered millions to shelter in place.

Elon Musk had Tesla employees report to work anyway.",0,0,2/15/2017 4:06,NULL,"Wife, mother, retired @Harvard_Law lawyer. Joined to read @CLMazin's tweets about Ted Cruz, stayed for the Resistance. RTs/Likes don't necessarily mean approval",2808,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,"RT @Teslarati: Tesla targeted by Japanese electronics giant in cryptic lawsuit claiming patent infringement
https://t.co/cDGrv9t0qU",0,1,2/20/2019 16:19, ,,8,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,Bet they dont,0,0,12/21/2019 3:28,NULL,Corporate Fin/strat. This account is for my own amusement.,198,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,@Plunk20 @gwestr What does Sandy say Tesla can do that others cant? Besides make money.,0,0,12/7/2013 2:18,"Houston, TX","If you think you can, you can. If you think you can't, well...",51,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,Tesla Model Y is what happens when the Model 3 taps into its full potential | TESLARATI https://t.co/e1ZT9hyEBH via @Teslarati,0,1,3/17/2020 18:20,NULL,My main Interests are Cars and Formula One. I also enjoy going to the Cinema and Theatre,0,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,"RT @washingtonpost: The San Francisco bay area ordered millions to shelter in place.

Elon Musk had Tesla employees report to work anyway.",0,0,12/6/2019 16:26,United Kingdom,Bookmaker specialising in politics.,3,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,"RT @AlmingtonCap: So, when Elon says he will keep going to work, he meant that he would feck off in his private plane while leaving his 1",0,0,6/24/2014 21:53,"Prag, Tschechische Republik","Auto fan, EV skeptic, TSLA short, legacy lemming. 

Will go back to economics and capital markets - after this incredible $TSLA experience.

My views & opinions",1517,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,This is criminal behavior,0,1,6/22/2009 17:51,USA,"Dentist. Husband. Dad. Fan of Formula 1, WEC, Porsche Motorsport. Car addict. Anti-Socialist. Anti-Nationalist.",100,NULL,NULL,0,0,,
1.24038E+18,3/18/2020 21:08,RT @chadloder: Nationalize Tesla and convert them to a ventilator factory for the rest of the year. https://t.co/9IZqEhC50M,0,0,12/3/2018 17:58,NULL,"Progressive furry fleeing tumblr. Trans NB they/them.  Also a Satanist. 30ish, babyfur, and anti-fascist.",35,NULL,NULL,0,0,,
